rnd,pick,team,player,pos,school,state,bonus,year
6,182,Indians,Ulysses Cantu,3B,"Boswell HS, Fort Worth",TX,270300,2016
6,183,Twins,Alex Schick,RHP,California,CA,400000,2016
6,184,Nationals,Tres Barrera,C,Texas,TX,210000,2016
6,185,Giants,Gio Brusa,OF,Pacific,CA,262700,2016
6,186,Angels,Cole Duensing,RHP,"Blue Valley Northwest HS, Overland Park, Kan.",KS,501300,2016
6,187,Astros,Stephen Wrenn,OF,Georgia,GA,257900,2016
6,188,Yankees,Brooks Kriske,RHP,Southern California,CA,100000,2016
6,189,Rangers,Kyle Cody,RHP,Kentucky,KY,150000,2016
6,190,Mets,Chris Viall,RHP,Stanford,CA,250500,2016
6,191,Dodgers,Errol Robinson,SS,Mississippi,MS,247500,2016
6,192,Blue Jays,D.J. Daniels,OF,"Fike HS, Wilson, N.C.",NC,300000,2016
6,193,Royals,Cal Jones,OF,Dadeville (Ala.) HS,AL,250000,2016
6,194,Cubs,Chad Hockin,RHP,Cal State Fullerton,CA,241000,2016
6,195,Pirates,Cam Vieaux,LHP,Michigan State,MI,175000,2016
6,196,Cardinals,Tommy Edman,SS,Stanford,CA,236400,2016
7,197,Phillies,Henri Lartigue,C,Mississippi,MS,220000,2016
7,198,Reds,Andy Cox,LHP,Tennessee,TN,5000,2016
7,199,Braves,J.B. Moss,OF,Texas A&M,TX,10000,2016
7,200,Rockies,Reid Humphreys,RHP,Mississippi State,MS,227400,2016
7,201,Brewers,Daniel Brown,LHP,Mississippi State,MS,120000,2016
7,202,Athletics,Tyler Ramirez,OF,North Carolina,NC,300000,2016
7,203,Marlins,Corey Bird,OF,Marshall,WV,175000,2016
7,204,Padres,Dan Dallas,LHP,"Canisius HS, Buffalo",NY,250000,2016
7,205,Tigers,Austin Sodders,LHP,UC Riverside,CA,216900,2016
7,206,White Sox,Bernardo Flores,LHP,Southern California,CA,200000,2016
7,207,Mariners,Matt Festa,RHP,East Stroudsburg (Pa.),PA,5000,2016
7,208,Red Sox,Ryan Scott,OF,Arkansas-Little Rock,AR,10000,2016
7,209,Diamondbacks,Jordan Watson,LHP,Science and Arts of Oklahoma,OK,110000,2016
7,210,Rays,J.D. Busfield,RHP,Loyola Marymount,CA,172500,2016
7,211,Orioles,Preston Palmeiro,1B,North Carolina State,NC,204700,2016
7,212,Indians,Michael Tinsley,C,Kansas,KS,175000,2016
7,213,Twins,Matt Albanese,OF,Bryant,RI,185000,2016
7,214,Nationals,Jake Noll,2B,Florida Gulf Coast,FL,190000,2016
7,215,Giants,Garrett Williams,LHP,Oklahoma State,OK,250000,2016
7,216,Angels,Jordan Zimmerman,2B,Michigan State,MI,175000,2016
7,217,Astros,Tyler Buffet,RHP,Oklahoma State,OK,Pool,2016
7,218,Yankees,Keith Skinner,C,North Florida,FL,10000,2016
7,219,Rangers,Sam Huff,C,"Arcadia HS, Phoenix",AZ,225000,2016
7,220,Mets,Austin McGeorge,RHP,Long Beach State,CA,175000,2016
7,221,Dodgers,Luke Raley,OF,Lake Erie (Ohio),OH,147500,2016
7,222,Blue Jays,Andy Ravel,RHP,Kent State,OH,186900,2016
7,223,Royals,Travis Eckert,RHP,Oregon State,OR,50000,2016
7,224,Cubs,Michael Cruz,C,Bethune-Cookman,FL,75000,2016
7,225,Pirates,Brent Gibbs,C,Central Arizona JC,AZ,150000,2016
7,226,Cardinals,Andrew Knizner,C,North Carolina State,NC,185300,2016
8,227,Phillies,Grant Dyer,RHP,UCLA,CA,175000,2016
8,228,Reds,John Sansone,2B,Florida State,FL,15000,2016
8,229,Braves,Taylor Hyssong,LHP,UNC Wilmington,NC,10000,2016
8,230,Rockies,Ty Culbreth,LHP,Texas,TX,20000,2016
8,231,Brewers,Francisco Thomas,SS,"Osceola HS, Kissimmee, Fla.",FL,200000,2016
8,232,Athletics,Will Gilbert,LHP,North Carolina State,NC,75000,2016
8,233,Marlins,Aaron Knapp,OF,California,CA,170000,2016
8,234,Padres,Ben Sheckler,LHP,Cornerstone (Mich.),MI,160000,2016
8,235,Tigers,Jacob Robson,OF,Mississippi State,MS,181600,2016
8,236,White Sox,Nate Nolan,C,St. Mary's,CA,170000,2016
8,237,Mariners,Nick Zammarelli,3B,Elon,NC,150000,2016
8,238,Red Sox,Alan Marrero,C,"International Baseball Academy, Ceiba, P.R.",PR,160000,2016
8,239,Diamondbacks,Ryan January,C,San Jacinto (Texas) JC,TX,350000,2016
8,240,Rays,Kenny Rosenberg,LHP,Cal State Northridge,CA,167500,2016
8,241,Orioles,Ryan Moseley,RHP,Texas Tech,TX,150000,2016
8,242,Indians,Andrew Lantrip,LHP,Houston,TX,125000,2016
8,243,Twins,Shane Carrier,OF,Fullerton (Calif.) JC,CA,178200,2016
8,244,Nationals,A.J. Bogucki,RHP,North Carolina,NC,150000,2016
8,245,Giants,Stephen Woods,RHP,Albany,NY,200000,2016
8,246,Angels,Troy Montgomery,OF,Ohio State,OH,150000,2016
8,247,Astros,Nick Hernandez,RHP,Houston,TX,125000,2016
8,248,Yankees,Dalton Blaser,1B,Cal State Fullerton,CA,10000,2016
8,249,Rangers,Tai Tiedemann,RHP,Long Beach CC,CA,175800,2016
8,250,Mets,Placido Torres,LHP,Tusculum (Tenn.),TN,10000,2016
8,251,Dodgers,Andre Scrubb,RHP,High Point,NC,122500,2016
8,252,Blue Jays,Kyle Weatherly,RHP,Grayson (Texas) CC,TX,250000,2016
8,253,Royals,Chris DeVito,1B,New Mexico,NM,125000,2016
8,254,Cubs,Stephen Ridings,RHP,Haverford (Pa.),PA,120000,2016
8,255,Pirates,Dylan Prohoroff,RHP,Cal State Fullerton,CA,160000,2016
8,256,Cardinals,Sam Tewes,RHP,Wichita State,KS,100000,2016
9,257,Phillies,Blake Quinn,RHP,Cal State Fullerton,CA,172600,2016
9,258,Reds,Alex Webb,RHP,British Columbia,BC,5000,2016
9,259,Braves,Tyler Neslony,OF,Texas Tech,TX,8000,2016
9,260,Rockies,Justin Calomeni,RHP,Cal Poly,CA,171400,2016
9,261,Brewers,Trey York,2B,East Tennessee State,TN,25000,2016
9,262,Athletics,Dalton Sawyer,LHP,Minnesota,MN,45000,2016
9,263,Marlins,Jarrett Rindfleisch,C,Ball State,IN,125000,2016
9,264,Padres,Jesse Scholtens,RHP,Wright State,OH,1000,2016
9,265,Tigers,Daniel Pinero,SS,Virginia,VA,169600,2016
9,266,White Sox,Max Dutto,SS,Menlo (Calif.),CA,10000,2016
9,267,Mariners,Jason Goldstein,C,Illinois,IL,25000,2016
9,268,Red Sox,Matt McLean,OF,Texas-Arlington,TX,10000,2016
9,269,Diamondbacks,Tommy Eveld,RHP,South Florida,FL,125000,2016
