rnd,pick,team,player,pos,school,state,bonus
6,185,Giants,Gio Brusa,OF,Pacific,CA,"$262,700 "
6,186,Angels,Cole Duensing,RHP,"Blue Valley Northwest HS, Overland Park, Kan.",KS,"$501,300 "
6,187,Astros,Stephen Wrenn,OF,Georgia,GA,"$257,900 "
6,188,Yankees,Brooks Kriske,RHP,Southern California,CA,"$100,000 "
6,189,Rangers,Kyle Cody,RHP,Kentucky,KY,"$150,000 "
6,190,Mets,Chris Viall,RHP,Stanford,CA,"$250,500 "
6,191,Dodgers,Errol Robinson,SS,Mississippi,MS,"$247,500 "
6,192,Blue Jays,D.J. Daniels,OF,"Fike HS, Wilson, N.C.",NC,"$300,000 "
6,193,Royals,Cal Jones,OF,Dadeville (Ala.) HS,AL,"$250,000 "
6,194,Cubs,Chad Hockin,RHP,Cal State Fullerton,CA,"$241,000 "
6,195,Pirates,Cam Vieaux,LHP,Michigan State,MI,"$175,000 "
6,196,Cardinals,Tommy Edman,SS,Stanford,CA,"$236,400 "
7,197,Phillies,Henri Lartigue,C,Mississippi,MS,"$220,000 "
7,198,Reds,Andy Cox,LHP,Tennessee,TN,"$5,000 "
7,199,Braves,J.B. Moss,OF,Texas A&M,TX,"$10,000 "
7,200,Rockies,Reid Humphreys,RHP,Mississippi State,MS,"$227,400 "
7,201,Brewers,Daniel Brown,LHP,Mississippi State,MS,"$120,000 "
7,202,Athletics,Tyler Ramirez,OF,North Carolina,NC,"$300,000 "
7,203,Marlins,Corey Bird,OF,Marshall,WV,"$175,000 "
7,204,Padres,Dan Dallas,LHP,"Canisius HS, Buffalo",NY,"$250,000 "
7,205,Tigers,Austin Sodders,LHP,UC Riverside,CA,"$216,900 "
7,206,White Sox,Bernardo Flores,LHP,Southern California,CA,"$200,000 "
7,207,Mariners,Matt Festa,RHP,East Stroudsburg (Pa.),PA,"$5,000 "
7,208,Red Sox,Ryan Scott,OF,Arkansas-Little Rock,AR,"$10,000 "
